Carimbo de data/hora,Educational attainment,"Area of study (e.g. Computer Science, Civil engineering)",Professional Experience in Software Development,Current role,Country,"Rate your level of agreement with the following statements. [I have experience with tools that allow the creation of diagrams from terraform code  (e.g. terraform graph, pluralith, rover, inframap, others).]",Rate your level of agreement with the following statements. [I am familiar with the Unified Modeling Language (UML).],Rate your level of agreement with the following statements. [I am familiar with UML component diagrams.],Rate your level of agreement with the following statements. [I am familiar with UML deployment diagrams.],"I think that with Infragenie, it is easy to... [create architectural diagrams.]","I think that with Infragenie, it is easy to... [keep architectural diagrams updated.]","I think that with Infragenie, it is easy to... [keep architectural diagrams consistent with the source-code.]","I think that with Infragenie, it is easy to... [add new information (not inferred from the source-code) to the diagrams.]","I think that with Infragenie, it is easy to... [change the generated architectural diagrams.]","I think that with Infragenie, it is easy to... [verify how changes may impact the architecture (e.g. adding new services, changing network ports, etc.).]",I think that the submitted architecture diagram is... [complete.],I think that Terraform Analyzer is useful to help ensure that architectural documentation is... [consistent.],I think that the submitted architecture diagram is... [precise.],I think that Terraform Analyzer is useful to help ensure that architectural documentation is... [easier to consult.],I think that the submitted architecture diagram is... [easy to understand.],I think that Terraform Analyzer is useful to help ensure that architectural documentation is... [easier to maintain.],I think that Terraform Analyzer is useful to help ensure that architectural documentation is... [easier to update.],"If the architecture diagram was generated after every code change, I think that it would be useful to help to... [plan future changes on the architecture.]","If the architecture diagram was generated after every code change, I think that it would be useful to help to... [understand the impact of changes in the architecture.]","If the architecture diagram was generated after every code change, I think that it would be useful to help to... [be more confident while introducing architectural changes.]","If the architecture diagram was generated after every code change, I think that it would be useful to help to... [implement architectural changes faster.]",I think that the provided diagram shows... [a complete view of the architecture.],I think that the provided diagram shows... [the most relevant elements of the architecture.],"How would you improve this diagram? (you can mention missing elements, different naming, representation, etc) ",The edit capabilities of Terraform Analyzer allow to... [increase the diagram value.],The edit capabilities of Terraform Analyzer allow to... [make the diagram more consistent.],The edit capabilities of Terraform Analyzer allow to... [representing details that were not automatically captured.],"About the edit capabilities of Infragenie, are they useful to increase the diagram value or even to test out changes in the architecture? Let us know what do you think about this feature and how we can improve it.","Before receiving our diagram, did the documentation of your projects include any other architectural diagram(s)?","Rate your level of agreement with the following statements.

I think the new architecture diagram... [is more precise than the existing diagrams]",Why?,"Rate your level of agreement with the following statement.

I am considering to include the generated architecture diagram to my project.",I am considering to ... [use infragenie to visualize and plan changes in the architecture.],I am considering to ... [use Infragenie in new projects.],The submitted architecture diagram would be better if ... [more UML elements were available to use.],The submitted architecture diagram would be better if ... [it wasn't restricted to UML elements.],The submitted architecture diagram would be better if ... [it automatically detected architectural changes (keeping the diagram always updated without manual intervention)],"Leave us your comments. What did you think of the submitted architecture diagram, how did you perceive its usefulness, and what improvements would you suggest?",Rate your level of agreement with the following statements. [I am familiar with Terraform.],,Rate your level of agreement with the following statements. [I am familiar with the repository terraform code],I am familiar with the terraform code in this repository,I think that the provided diagram shows... [is easy to read],I think that the submitted architecture diagram is... [easy to read.],"Rate your level of agreement with the following statements.

I think the new architecture diagram... [is easier to understand than the existing diagrams]","Rate your level of agreement with the following statements.

I think the new architecture diagram... [is more complete than the existing diagrams]","Rate your level of agreement with the following statements.

I think the new architecture diagram... [is easier to read than the existing diagrams]",Rate your level of agreement with the following statements. [I am familiar with the Terraform code in this repository],I think that the submitted architecture diagram is... [the most relevant elements of the architecture.],I think that the provided diagram shows... [Linha 4]
2024/06/20 11:25:33,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Computer Science,1 to 4 years,Software Engineer,Romania,Agree,Strongly agree,,Agree,,,,,,,Agree,,Neutral,,Strongly agree,,,,,,,,,"A bit better visual representation of parts, like the shapes and colors used to make the diagram more intuitive.",,,,,I am not sure,,,Neutral,,,,,,,Agree,,,,,Strongly agree,,,,Agree,,
2024/06/20 11:41:27,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Computer Science,1 to 4 years,Associate software engineer,Canada,Disagree,Strongly agree,,Agree,,,,,,,Strongly agree,,Neutral,,Agree,,,,,,,,,In the diagram sqs queues are not in the correct spot,,,,,Yes,Disagree,"I used a draw.io diagram with arrows pointing between services, I believe this is clearer than not having arrows",Agree,,,,,,,Strongly agree,,,,,Agree,Agree,Neutral,Neutral,Strongly agree,,
2024/06/20 13:12:25,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Solution Architecture,15 or more,Software engineer,Brazil,Strongly agree,Agree,,Neutral,,,,,,,Strongly agree,,Strongly agree,,Strongly agree,,,,,,,,,"One idea would be to, in addition to showing the diagram, also show the code, this creates possibilities for code adjustments in real time and visually the diagram shapes itself according to the adjustments.",,,,,No,,,Agree,,,,,,"It was very good, as it already gives an insight into what is happening in the project. My suggestion is to include a statement of the resources used to understand the visual flow. But for this version, it's already great. I would happily use it in my projects.",Strongly agree,,,,,Agree,,,,Strongly agree,,
2024/06/20 13:20:47,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Computer Science,1 to 4 years,Senior Engineer,Australia,Strongly disagree,Agree,,Disagree,,,,,,,Agree,,Neutral,,Agree,,,,,,,,,There is a link between the queue and a lambda that should be represented,,,,,Yes,Agree,The original has more information and correct relationships but is less clear,Neutral,,,,,,,Agree,,,,,Agree,Neutral,Disagree,Agree,Strongly agree,,
2024/06/20 14:13:54,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Computer INformation Systems,10 to 14 years,Cloud Engineer,United States,Strongly disagree,Agree,,Neutral,,,,,,,Neutral,,Neutral,,Strongly agree,,,,,,,,,The diagram only shows the backend infrastructure. The front end infrastructure is missing.,,,,,No,,,Agree,,,,,,I think the submitted diagram is a great addition to the code. It gives a visual picture. Add the diagrams for the front end and more details to each component.,Agree,,,,,Strongly agree,,,,Strongly agree,,
2024/06/23 12:14:39,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Automation Engineer,1 to 4 years,Analytics Engineer,Vietnam,Agree,Strongly agree,,Strongly agree,,,,,,,Agree,,Strongly agree,,Agree,,,,,,,,,"You can improve by showing the Roles, permission, dependencies, or even dig deep into the configuration, etc",,,,,Yes,Strongly Agree,"The diagram is shown as block, with more easier to read, visualize and present, potential to improve, and dynamic for document the HCL",Strongly agree,,,,,,"This project is really interesting and helping a lot in project development and can be used as a manifest for document, compare to the original or can be packaged into a tools/software.",Strongly agree,,,,,Agree,Agree,Agree,Agree,Strongly agree,,
2024/06/25 18:08:08,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Electrical Engineering ,1 to 4 years,Software Engineer,Ukraine,Strongly disagree,Agree,,Neutral,,,,,,,Agree,,Agree,,Agree,,,,,,,,,,,,,,No,,,Agree,,,,,,,Agree,,,,,Agree,,,,Agree,,
2024/06/26 12:11:46,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",,1 to 4 years,,India,Strongly agree,Strongly agree,,Strongly agree,,,,,,,Strongly agree,,Strongly agree,,Strongly agree,,,,,,,,,,,,,,I am not sure,,,Neutral,,,,,,,Strongly agree,,,,,Strongly agree,,,,Strongly agree,,
2024/06/26 12:18:23,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Business Computer Science,Less than 1 year,IT-Projectmanager,Germany,Agree,Neutral,,Neutral,,,,,,,Strongly disagree,,Strongly disagree,,Strongly disagree,,,,,,,,,,,,,,Yes,Strongly Disagree,,Strongly disagree,,,,,,,Agree,,,,,Strongly disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,,
2024/06/26 12:32:33,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Computer Science,5 to 9 years,Platform Engineer,Spain,Strongly agree,Neutral,,Disagree,,,,,,,Disagree,,Disagree,,Strongly agree,,,,,,,,,"Has mention in README of https://github.com/toninoes/api-http-crud-lambda-dynamodb, at high level infrastructure consist of APIGW -> Lambda -> DynamoDB. An in i've received in mail a diagram that only represents DynamoDB and Lambda",,,,,Yes,Disagree,Missing element APIGW. But I like the idea that in boxes we can read attributes of each entity.,Disagree,,,,,,,Strongly agree,,,,,Strongly agree,Disagree,Disagree,Disagree,Strongly agree,,
